,Title,Price,PID,Location
83,5 bedroom House for rent Chevron Drive Lekki Lagos," 9,000,000/year ",7LCRA,Chevron Drive Lekki Lagos
84,5 bedroom House for rent Chevron Drive Lekki Lagos," 9,000,000/year ",7LCRA,Chevron Drive Lekki Lagos
85,4 bedroom House for rent chevron Lekki Lagos," 6,000,000/year ",2LBJA,Chevron Lekki Lagos
86,4 bedroom House for rent Ologolo Lekki Lagos," 5,000,000/year ",6LCLB,Ologolo Lekki Lagos
87,3 bedroom Flat / Apartment for rent Ikota Lekki Lagos," 3,000,000/year ",0LFKW,Ikota Lekki Lagos
88,4 bedroom House for rent Ikate Lekki Lagos," 7,000,000/year ",1KZYX,Ikate Lekki Lagos
89,3 bedroom House for rent Lekki Phase 1 Lekki Lagos," 14,000,000/year ",6LDCV,Lekki Phase 1 Lekki Lagos
90,4 bedroom House for rent Ikoyi Lagos," 27,000,000/year ",3KZAJ,Ikoyi Lagos
91,3 bedroom House for rent Oral Estate orchid Lekki Lagos," 3,500,000/year ",3LCXQ,Oral Estate Orchid Lekki Lagos
92,1 bedroom Flat / Apartment for rent Surulere Lagos," 2,000,000/year ",2LDFX,Surulere Lagos
93,5 bedroom House for rent chevron Lekki Lagos," 9,000,000/year ",0LCMY,Chevron Lekki Lagos
94,2 bedroom Flat / Apartment for rent Meiran Abule Egba Lagos," 400,000/year ",5LEQV,Meiran Abule Egba Lagos
95,1 bedroom Flat / Apartment for rent Onike Yaba Lagos," 1,200,000/year ",2LEGB,Onike Yaba Lagos
96,5 bedroom House for rent Ikoyi Lagos," 23,000,000/year ",7LEAU,Ikoyi Lagos
97,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",0LENN,Lekki Phase 1 Lekki Lagos
98,4 bedroom House for rent Orchid chevron Lekki Lagos," 7,000,000/year ",6LCWQ,Orchid Chevron Lekki Lagos
99,4 bedroom House for rent orchid Lekki Lagos," 7,000,000/year ",6LEKJ,Orchid Lekki Lagos
100,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",4KZDS,Ikota Lekki Lagos
101,4 bedroom House for rent  orchid Lekki Lagos," 7,000,000/year ",8LDHT,Orchid Lekki Lagos
102,4 bedroom House for rent Osapa london Lekki Lagos," 7,000,000/year ",2LDQL,Osapa London Lekki Lagos
103,4 bedroom House for rent Off Harris Drive VGC Lekki Lagos," 6,000,000/year ",8LENG,Off Harris Drive Vgc Lekki Lagos
104,5 bedroom House for rent Victory Park Estate Osapa london Lekki Lagos," 16,000,000/year ",1LCRK,Victory Park Estate Osapa London Lekki Lagos
105,2 bedroom Flat / Apartment for rent Aguda Surulere Lagos," 2,500,000/year ",8LCCU,Aguda Surulere Lagos
106,3 bedroom Flat / Apartment for rent Ikola Ipaja Lagos," 1,000,000/year ",4LFKS,Ikola Ipaja Lagos
107,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",3LENP,Ikota Lekki Lagos
108,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",6KZLB,Ikota Lekki Lagos
109,5 bedroom House for rent Banana Island Ikoyi Lagos," 60,000,000/year ",1LBQE,Banana Island Ikoyi Lagos
110,"Flat / Apartment for rent Ishaga, Lawanson Bus Stop Surulere Lagos"," 1,000,000/year ",6KTQZ,"Ishaga, Lawanson Bus Stop Surulere Lagos"
111,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 13,000,000/year ",0LCRK,Lekki Phase 1 Lekki Lagos
112,2 bedroom House for rent Ologolo Lekki Lagos," 5,500,000/year ",0LFLS,Ologolo Lekki Lagos
113,4 bedroom House for rent Lekki County Ikota Lekki Lagos," 6,000,000/year ",4LBQF,Lekki County Ikota Lekki Lagos
114,2 bedroom Flat / Apartment for rent Iyana Ipaja Ipaja Lagos," 1,200,000/year ",8LFAQ,Iyana Ipaja Ipaja Lagos
115,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4LENM,Ikate Lekki Lagos
116,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",1LCWR,Ikate Lekki Lagos
117,4 bedroom House for rent orchid Lekki Lagos," 5,000,000/year ",9LEKE,Orchid Lekki Lagos
118,5 bedroom House for rent VGC Lekki Lagos," 15,000,000/year ",7LCWR,Vgc Lekki Lagos
119,5 bedroom House for rent VGC Lekki Lagos," 15,000,000/year ",7LCWR,Vgc Lekki Lagos
120,4 bedroom House for rent Old Ikoyi Ikoyi Lagos," 20,000,000/year ",5LBNF,Old Ikoyi Ikoyi Lagos
121,2 bedroom House for rent  Agungi Lekki Lagos," 4,000,000/year ",3LCRM,Agungi Lekki Lagos
122,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4KZAF,Ikate Lekki Lagos
123,4 bedroom House for rent Osapa london Lekki Lagos," 7,000,000/year ",3LDBN,Osapa London Lekki Lagos
124,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",7KZAE,Ikota Lekki Lagos
125,4 bedroom House for rent chevron Lekki Lagos," 9,000,000/year ",3KZDW,Chevron Lekki Lagos
126,3 bedroom House for rent Ologolo Lekki Lagos," 5,000,000/year ",5LBHZ,Ologolo Lekki Lagos
127,2 bedroom Flat / Apartment for rent Ikola Ipaja Lagos," 900,000/year ",1LETW,Ikola Ipaja Lagos
128,4 bedroom House for rent Ikate Lekki Lagos," 8,000,000/year ",5LEBT,Ikate Lekki Lagos
129,Commercial Property for rent Lekki Phase 1 Lekki Lagos," 25,000,000/year ",3KHCT,Lekki Phase 1 Lekki Lagos
130,3 bedroom House for rent Ikoyi Lagos," 25,000/year ",9LCVN,Ikoyi Lagos
131,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",7KXYE,Lekki Phase 1 Lekki Lagos
132,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4LBHX,Ikate Lekki Lagos
133,"1 bedroom Flat / Apartment for rent Jacob Street, Fadeyi Yaba Yaba Lagos"," 1,300,000/year ",2LEUB,"Jacob Street, Fadeyi Yaba Yaba Lagos"
134,3 bedroom House for rent Osapa london Lekki Lagos," 5,000,000/year ",2LAPN,Osapa London Lekki Lagos
135,"2 bedroom Flat / Apartment for rent Idera Estate, Amule Ayobo Ipaja Lagos"," 1,200,000/year ",5LEGB,"Idera Estate, Amule Ayobo Ipaja Lagos"
136,"2 bedroom Flat / Apartment for rent Idera Estate, Amule Ayobo Ipaja Lagos"," 1,200,000/year ",5LEGB,"Idera Estate, Amule Ayobo Ipaja Lagos"
137,2 bedroom Flat / Apartment for rent Victory Estate Berger Ojodu Lagos," 1,800,000/year ",4LEQY,Victory Estate Berger Ojodu Lagos
138,4 bedroom House for rent Omole phase 2 Ojodu Lagos," 7,500,000/year ",2LFAR,Omole Phase 2 Ojodu Lagos
139,2 bedroom Flat / Apartment for rent Badore Ajah Lagos," 1,800,000/year ",7LFKU,Badore Ajah Lagos
140,4 bedroom House for rent chevron Lekki Lagos," 9,500,000/year ",4KZDP,Chevron Lekki Lagos
141,4 bedroom House for rent Ikota Lekki Lagos," 6,000,000/year ",9LBQD,Ikota Lekki Lagos
142,4 bedroom House for rent Orchid chevron Lekki Lagos," 4,000,000/year ",3LBJD,Orchid Chevron Lekki Lagos
143,3 bedroom House for rent Old Ikoyi Ikoyi Lagos," 13,000,000/year ",9LDBP,Old Ikoyi Ikoyi Lagos
144,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",4LEES,Lekki Phase 1 Lekki Lagos
145,5 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",2LCVM,Ikate Lekki Lagos
146,4 bedroom House for rent Ikate Lekki Lagos," 9,000,000/year ",0KZHW,Ikate Lekki Lagos
147,4 bedroom House for rent Ikota Lekki Lagos," 4,500,000/year ",9KZLE,Ikota Lekki Lagos
148,3 bedroom House for rent Banana Island Ikoyi Lagos," 18,000,000/year ",2LFBL,Banana Island Ikoyi Lagos
149,2 bedroom Flat / Apartment for rent Iya Odo Joke Ayobo Ipaja Lagos," 1,200,000/year ",2LEKE,Iya Odo Joke Ayobo Ipaja Lagos
150,4 bedroom House for rent Orchid chevron Lekki Lagos," 6,000,000/year ",6LCVM,Orchid Chevron Lekki Lagos
151,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 20,000,000/year ",6LCUC,Lekki Phase 1 Lekki Lagos
152,4 bedroom House for rent 2nd Toll Gate Lekki Lagos," 4,000,000/year ",7KZHY,2nd Toll Gate Lekki Lagos
153,Commercial Property for rent Fashoro Street Surulere Lagos," 2,000,000/year ",5LETW,Fashoro Street Surulere Lagos
154,4 bedroom House for rent Ikota Lekki Lagos," 7,500,000/year ",7LBNE,Ikota Lekki Lagos
155,House for rent Victoria Island Lagos," 21,100,000 ",3KGFY,Victoria Island Lagos
156,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 15,000,000/year ",8KZAB,Lekki Phase 1 Lekki Lagos
157,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 15,000,000/year ",9LCUB,Lekki Phase 1 Lekki Lagos
158,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",9LCVQ,Ikota Lekki Lagos
159,4 bedroom House for rent Osapa london Lekki Lagos," 8,000,000/year ",8LCVK,Osapa London Lekki Lagos
160,5 bedroom House for rent Agungi Lekki Lagos," 6,000,000/year ",6LAYH,Agungi Lekki Lagos
161,3 bedroom House for rent Ikate Lekki Lagos," 7,000,000 ",5LETR,Ikate Lekki Lagos
162,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",0LCVT,Ikota Lekki Lagos
163,"4 bedroom House for rent Chevron Toll Gate, Orchid Lekki Lagos"," 7,000,000/year ",7LDHT,"Chevron Toll Gate, Orchid Lekki Lagos"
164,5 bedroom House for rent Agungi Lekki Lagos," 13,000,000/year ",4KZDV,Agungi Lekki Lagos
165,5 bedroom House for rent Old Ikoyi Ikoyi Lagos," 25,000,000/year ",2LDHU,Old Ikoyi Ikoyi Lagos
166,4 bedroom House for rent Ikate Lekki Lagos," 15,000,000/year ",2LCRN,Ikate Lekki Lagos
